Retailer,path,search_term,prd_id,images,url
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342655-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwecb73dc6/7342655/7342655-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw611d8c15/7342655/7342655-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw8d2f399c/7342655/7342655-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwe3d44f41/7342655/7342655-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/betty-button-through-cardi/7342655-01.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342654-02,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwdfe1e0d2/7342654/7342654-02-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw3ac90554/7342654/7342654-02-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwe101131c/7342654/7342654-02-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw23fc7e45/7342654/7342654-02-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/betty-button-through-cardi/7342654-02.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342655-02,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwf108c9ff/7342655/7342655-02-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw935d1e00/7342655/7342655-02-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw33f3f9d4/7342655/7342655-02-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw69ce5912/7342655/7342655-02-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/betty-button-through-cardi/7342655-02.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342654-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwf4925f89/7342654/7342654-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw4c8619d3/7342654/7342654-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwadb9ccf0/7342654/7342654-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw3162f9a6/7342654/7342654-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/betty-button-through-cardi/7342654-01.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342610-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwa58b122c/7342610/7342610-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwdab18eff/7342610/7342610-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw11c0a1e0/7342610/7342610-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw4ef6efc8/7342610/7342610-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/mya-cropped-cardigan/7342610-01.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7341733-02,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwd6e0bd55/7341733/7341733-02-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw3df971ae/7341733/7341733-02-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw0a2ad389/7341733/7341733-02-3.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/shae-pointelle-cardigan/7341733-02.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342610-03,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw4500164d/7342610/7342610-03-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw5d022231/7342610/7342610-03-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw417c42d7/7342610/7342610-03-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw27312791/7342610/7342610-03-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/mya-cropped-cardigan/7342610-03.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7341739-02,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwbb9b6669/7341739/7341739-02-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw4ed558e6/7341739/7341739-02-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwfc121661/7341739/7341739-02-3.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/organic-newborn-cross-over-cardigan/7341739-02.html
cottonon,Coats-and-jackets-type/Blazer/Coats,kids blazer coats,7342610-04,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw9c0fbc73/7342610/7342610-04-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwfedd6bc7/7342610/7342610-04-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dw2c19db97/7342610/7342610-04-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-kids/default/dwe144e100/7342610/7342610-04-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/mya-cropped-cardigan/7342610-04.html
cottonon,Coats-and-jackets-type/Blazer/Coats,childrens blazer coats,2054310-01,https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwf01f3d29/2054310/2054310-01-2.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwf33beef4/2054310/2054310-01-1.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw0cde63ed/2054310/2054310-01-3.jpg?sw=1920&sh=2880&sm=fit|https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw5db0b2f1/2054310/2054310-01-4.jpg?sw=1920&sh=2880&sm=fit,https://cottonon.com/AU/blazer-coat/2054310-01.html
